ax,ay,az,gx,gy,gz,label
0.900391,-0.08813499,0.269531,-229.3893,49.08397,112.0916,0
0.999268,0.00415,0.104736,-2.870229,-0.343511,0.977099,0
1.163574,-0.106934,0.091064,12.48855,-65.64886,7.9771,1
1.566406,-0.642334,1.428467,17.05343,87.03053,128.4046,10
0.7702641,-0.061035,-0.082031,-13.74809,1.969466,16.69466,0
0.845459,-0.374023,0.625,44.01527,-69.0458,6.160306,1
1.048828,0.038818,-0.45874,-18.74046,-19.20611,5.72519,1
0.99585,0.01709,-0.026123,-2.778626,-0.091603,1.312977,0
1.130371,0.293945,0.222656,39.80916,6.442748,-36.37405,1
0.991943,0.007568001,0.104492,-2.740458,0.167939,0.977099,0
0.9882811,0.004395,-0.022217,-3.030534,0.854962,1.099237,0
0.728272,-0.061035,-0.520752,8.954199,-31.96183,39.54198,0
1.08667,-0.043213,-0.1604,-19.90076,-65.41222,-7.40458,1
0.789062,0.302246,0.510498,-14.0458,4.839694,16.12977,0
1.36792,0.376953,0.248535,-18.98473,37.82443,0.755725,10
0.996826,-0.007568001,0.073242,-2.679389,0.137405,0.9007629,0
0.671143,0.272705,0.482666,-7.236642,29.46565,36.59542,0
1.879394,0.40332,0.072266,-60.03053,106.0305,125.3435,10
0.950684,0.568359,-1.893799,-11.99237,45.50382,-74.46565,10
1.031494,0.06616199,0.129883,-57.77863,-7.351146,-17.54962,0
0.961426,0.126221,-0.226807,3.0,-41.38931,22.25954,0
0.8342279,0.126709,-0.183105,-9.603053,-30.07634,12.67939,0
1.018555,-0.048828,0.351562,77.90839,-102.374,-31.93893,1
1.211182,-0.134521,-0.638672,-56.56488,-52.59542,-56.62595,10
1.021728,-0.105957,-0.572022,-8.442748,-45.56488,-24.16031,1
1.073242,-0.274902,-0.592773,-51.17557,48.58779,14.34351,10
0.952637,-0.15625,-0.291016,-26.32061,-16.16794,34.25954,0
0.873291,0.294189,-0.194336,-18.19084,0.694656,10.63359,0
0.848877,0.456299,0.166016,23.48855,0.396947,-2.083969,0
1.072266,-0.043457,0.14917,-14.30534,-13.70229,-7.236642,1
0.998535,-0.004883,0.078613,-2.70229,0.038168,1.061069,0
1.4375,-0.164307,1.137207,7.32061,-4.312978,-6.137404,10
1.727051,0.499512,0.465576,2.374046,88.8855,107.8779,10
1.127686,-0.573242,0.010742,-58.23664,-137.1527,-80.86259,10
0.74707,0.091064,-0.652832,-44.90076,-43.19847,-20.40458,0
0.99707,0.006592,0.102051,-2.664122,0.229008,0.763359,0
1.475586,-0.220947,-0.177002,56.13741,-134.916,124.6412,10
1.873291,-0.002441,1.063232,-30.65649,-1.137404,-12.17557,10
0.998535,0.010498,-0.020752,-2.816794,0.251908,0.908397,0
0.996338,0.007568001,-0.030029,-2.832061,-0.030534,0.9007629,0
0.299316,0.066895,-0.85498,44.87786,51.92366,-155.3359,0
1.004883,0.004883,0.105957,-2.763359,-0.053435,0.740458,0
1.254639,-0.464844,-0.094238,-33.07634,-26.13741,-33.80153,10
