ax,ay,az,gx,gy,gz,label
0.053711,-1.318359,0.0979,134.9771,-211.7252,45.73283,1
0.999756,0.018799,0.07128901,-2.679389,0.167939,0.954198,0
0.9990231,0.024414,0.070557,-2.610687,0.129771,0.839695,0
-0.168701,-1.672363,1.997314,-250.1374,10.63359,-96.59542,10
1.000977,-0.012695,0.080322,-2.160305,0.091603,1.328244,0
1.0,-0.008789,0.075684,-2.763359,0.312977,0.847328,0
-0.095215,-0.480957,0.646973,-82.00764,-65.54962,22.1145,0
1.000488,0.021973,0.076904,-2.885496,0.221374,0.847328,0
1.000732,0.021729,0.081543,-2.80916,0.099237,0.9312981,0
0.998047,0.018066,0.07983399,-2.679389,0.114504,0.91603,0
1.031982,-0.082764,0.134033,-127.1908,-0.656489,-0.10687,0
1.001221,0.030518,0.074707,-2.931298,0.343511,0.854962,0
-0.8603519,-0.438965,-0.173584,-102.0229,113.4504,-132.6794,0
0.011719,-0.435059,1.687744,-4.839694,53.29008,-39.93893,10
1.0,-0.006104,0.07641601,-2.755725,0.290076,1.122137,0
0.095947,0.418457,1.39209,-58.70229,72.43511,-40.73283,1
0.386475,-0.501465,0.557617,171.4427,75.52672,52.22137,0
0.061035,-0.960205,0.8327641,-1.755725,-26.70992,-5.519084,1
-0.113281,-0.882568,0.648438,97.43511,-90.70229,30.64886,1
-0.104004,-0.641357,0.370117,-59.77099,-27.22901,-9.534351,0
0.012939,-1.180176,0.137451,91.77863,-11.29771,2.801527,1
1.002686,-0.01416,0.037354,-99.67175,28.16031,14.44275,0
0.120117,-0.968506,1.879883,85.94656,138.2901,-15.29008,10
0.120117,-0.968506,1.879883,85.94656,138.2901,-15.29008,10
-0.026123,-1.045898,0.275635,74.92366,-17.92366,17.06107,1
-0.847412,-2.0,-1.428955,-19.9313,-38.99237,12.0229,10
-0.253174,-1.240478,-0.003174,-250.1374,46.59542,-37.33588,1
-0.236328,-0.331299,0.76416,-100.3359,42.48855,-62.52672,0
-0.289307,-0.20166,0.547363,-135.7481,9.236641,-16.76336,0
0.139404,-1.240234,0.024414,217.6641,-152.1069,47.82443,1
-0.565186,-0.509277,1.071045,-250.1374,75.229,-135.7939,1
1.0,0.019775,0.07641601,-2.732824,0.06870199,0.9312981,0
0.12207,-1.041504,0.237549,12.74809,50.43512,-18.67175,1
-0.570068,-0.677978,1.189941,83.30534,224.6565,14.48092,1
-0.361328,-0.361572,0.307617,-112.4275,-62.53435,-18.20611,0
-0.847412,-2.0,-1.428955,-19.9313,-38.99237,12.0229,10
-0.396973,-1.256104,0.283447,-250.1374,43.9771,-41.60306,1
0.011719,-0.435059,1.687744,-4.839694,53.29008,-39.93893,10
-0.410156,-0.756104,1.999939,250.1298,-11.34351,-26.51145,10
-2.0,-0.420166,1.741699,250.1298,250.1298,114.9084,10
0.414795,-1.182861,-1.10083,133.8321,54.09924,-47.31298,10
0.061035,-0.960205,0.8327641,-1.755725,-26.70992,-5.519084,1
1.001709,0.022461,0.074951,-2.633588,0.229008,0.801527,0
-0.03418,-0.817871,1.031982,40.73283,-14.39695,-3.40458,1
-0.190674,-1.054443,-0.116943,124.626,-54.51908,-49.1832,1
0.9990231,0.019775,0.06958001,-2.48855,0.267176,1.091603,0
-0.028564,-0.922363,0.581543,45.10687,29.39695,-13.58779,1
0.998047,0.018066,0.07983399,-2.679389,0.114504,0.91603,0
-0.002197,-1.098633,-0.566406,52.32061,28.00763,13.43511,1
0.986084,0.032227,0.021484,-9.198473,-4.9771,-13.81679,0
-0.092285,-1.000977,0.481201,33.48855,26.47328,-3.465649,1
1.0,0.021484,0.07666,-2.648855,0.328244,0.91603,0
0.095947,0.418457,1.39209,-58.70229,72.43511,-40.73283,1
0.986084,0.032227,0.021484,-9.198473,-4.9771,-13.81679,0
-0.297852,-1.35791,0.172119,61.57252,-250.1374,32.60305,1
1.004394,-0.012695,0.075684,-2.603053,0.427481,0.938931,0
-0.302002,-0.761719,0.828857,157.3282,246.0,34.87023,1
-0.013916,-0.938721,0.304932,20.96183,-1.358779,-7.091604,0
-0.168701,-0.979004,-0.501709,141.3969,-118.7634,18.69466,1
0.158691,-1.010498,0.041016,10.22138,53.17557,-13.28244,0
0.078125,-0.971924,-0.195557,31.38168,31.42748,-2.625954,0
1.001709,0.023438,0.076172,-2.748092,0.083969,0.954198,0
-0.302002,-0.761719,0.828857,157.3282,246.0,34.87023,1
-0.082275,-0.970215,0.489258,9.358779,-250.1374,12.81679,1
1.000977,0.015137,0.075439,-2.572519,0.122137,0.870229,0
-0.608643,-1.387451,0.535644,-250.1374,63.63359,-68.67939,10
0.958496,0.102539,0.252686,-3.282443,8.259542,5.89313,0
1.000732,0.021729,0.081543,-2.80916,0.099237,0.9312981,0
0.125488,-0.907959,0.681885,-238.9084,-154.8015,-20.23664,1
-0.147705,-1.248047,-0.320801,111.8702,-118.2748,33.12214,1
0.811279,-0.293457,0.648926,-154.8168,-16.81679,203.1756,1
0.139404,-1.240234,0.024414,217.6641,-152.1069,47.82443,1
-0.447998,-1.301758,0.637207,-250.1374,-8.366412,-83.68702,10
-0.095215,-0.480957,0.646973,-82.00764,-65.54962,22.1145,0
-0.196289,-0.957275,0.191895,40.52672,-22.67939,56.70992,0
1.004394,-0.012695,0.075684,-2.603053,0.427481,0.938931,0
1.001221,0.01709,0.068848,-2.992366,0.022901,0.9312981,0
0.124756,-0.473389,0.157227,168.5267,148.1756,2.389313,0
0.124756,-0.473389,0.157227,168.5267,148.1756,2.389313,0
1.001709,0.022461,0.074951,-2.633588,0.229008,0.801527,0
0.998779,0.02002,0.076172,-2.541985,0.0,0.923664,0
-0.114014,-0.517334,0.812012,-67.0229,99.40458,-34.74046,0
-0.521484,-0.688477,0.988037,4.763358,152.8168,-64.41222,1
-0.100098,-0.618408,0.033691,46.84733,-66.80916,-48.70229,0
-0.34668,-0.414551,0.17041,-173.3817,-65.91603,-40.0,0
1.000488,0.020264,0.074951,-2.732824,-0.099237,0.908397,0
0.35376,-0.8940431,1.814453,-217.4657,-56.25954,-76.98473,10
-0.075439,-1.006836,0.429199,9.175572,-3.167939,-12.18321,1
-0.382324,-0.386475,1.999939,-250.1374,-196.084,34.0229,10
0.095947,0.418457,1.39209,-58.70229,72.43511,-40.73283,1
-0.950439,1.156494,1.999939,109.9847,26.26718,18.13741,10
1.000488,0.025391,0.072021,-2.916031,0.099237,0.977099,0
-0.020508,-1.256348,-0.539795,86.52672,134.3893,-2.80916,1
1.0,-0.006104,0.07641601,-2.755725,0.290076,1.122137,0
0.366699,0.58374,-0.224365,-65.38931,108.9237,-26.48092,0
1.000732,0.020508,0.07446301,-2.641221,0.167939,0.908397,0
0.998047,0.018066,0.07983399,-2.679389,0.114504,0.91603,0
0.268555,-0.920654,-0.150146,58.51908,-12.37405,202.2366,0
-0.374512,-1.107666,1.025146,10.45038,250.1298,-15.19084,10
1.000977,0.015137,0.075439,-2.572519,0.122137,0.870229,0
-0.03418,-0.817871,1.031982,40.73283,-14.39695,-3.40458,1
1.001221,0.017334,0.076904,-2.580153,-0.015267,1.0,0
1.000488,0.025391,0.072021,-2.916031,0.099237,0.977099,0
-0.043945,-0.032959,1.999939,-131.1908,100.7557,-81.61832,10
-0.966309,-1.765137,-0.7297359,-71.82442,-83.80153,47.41985,10
-0.447998,-1.301758,0.637207,-250.1374,-8.366412,-83.68702,10
-0.126953,-1.455566,0.97168,120.4046,-9.969465,-13.87023,10
0.99707,0.016602,0.076172,-2.870229,0.06870199,1.022901,0
-0.06665,-0.970215,0.350342,39.0916,8.38168,2.236641,0
-0.151611,-0.574219,0.649658,-100.5725,101.2748,-35.87023,0
0.120117,-0.968506,1.879883,85.94656,138.2901,-15.29008,10
-0.0896,-1.063965,-0.023438,10.51145,3.244275,-8.40458,1
-0.168701,-1.672363,1.997314,-250.1374,10.63359,-96.59542,10
-0.136475,-0.936768,0.385498,0.221374,-29.77863,24.13741,0
-0.570068,-0.677978,1.189941,83.30534,224.6565,14.48092,1
0.01123,-0.98877,0.275146,44.32061,28.70992,-5.335878,0
-0.396973,-1.256104,0.283447,-250.1374,43.9771,-41.60306,1
