ax,ay,az,gx,gy,gz,label
1.241699,0.5578609,0.32959,-204.7786,-129.8168,100.3588,10
0.956299,0.439209,0.235352,14.29008,-27.98473,74.51908,1
0.693115,-0.133545,0.453369,50.17557,-31.75573,13.63359,0
1.092041,0.566406,-0.078613,-216.4351,-85.53435,100.2519,10
0.936035,0.129395,0.390381,-3.732824,0.755725,1.755725,0
1.221191,0.369141,0.227051,22.17557,4.236642,-28.91603,10
0.94043,0.125977,0.401123,-2.0,-0.183206,0.946565,0
1.42456,0.673828,0.793945,-185.4657,-14.9313,10.96947,10
0.915039,0.075684,0.453857,-2.854962,0.282443,-0.015267,0
0.906006,0.084717,0.453613,-2.992366,-1.312977,2.244275,0
0.802246,-0.106201,-0.724121,-62.68702,-28.30534,-11.74046,1
0.96875,0.104248,-0.363037,-24.12977,45.68702,-37.9313,0
0.919922,0.073975,-0.180664,100.6489,-59.37405,-33.51145,0
0.9990231,-0.033936,0.06958001,-2.931298,0.251908,0.984733,0
0.930664,0.08496099,0.422119,-3.099237,-3.458015,0.435114,0
0.934814,0.114014,0.390137,-3.251908,-0.015267,1.679389,0
1.01709,-0.025146,0.019043,27.77099,10.56489,-24.34351,0
0.75,0.567871,0.984619,-25.03053,-13.29771,14.94656,10
0.91626,0.093994,0.43335,-2.450382,1.396946,2.114504,0
0.774414,0.570068,1.15332,-6.442748,14.25191,-12.83969,10
0.512939,-0.045654,-0.9108891,167.5343,-19.30534,-50.77863,0
0.932129,0.116211,0.389893,-4.160306,-0.29771,0.961832,0
0.791016,0.408447,0.722656,-37.8855,-26.80916,26.38168,1
1.023438,-0.024414,0.006348,87.80153,11.69466,-6.923664,0
0.879883,0.253662,0.398926,-94.89313,-25.64886,-14.85496,0
0.756836,0.565918,0.974365,-36.87023,-28.73282,27.46565,10
0.98584,0.005859,-0.0896,-18.51908,1.061069,1.0,0
0.942627,-0.055176,-0.113037,-45.58015,23.43511,38.32061,0
1.14209,0.549072,0.095947,-236.4886,-154.0992,158.771,10
0.9570311,0.001221,0.057617,46.25191,3.717557,-1.099237,0
0.911133,0.068848,0.434082,-2.755725,-0.183206,1.923664,0
0.8654779,-0.039795,-0.416992,-87.53435,-67.38168,-4.358778,0
0.550537,0.270752,0.246582,-2.564886,-11.71756,11.00763,0
1.281494,0.587158,0.830811,-184.6336,-5.839694,-24.87023,10
0.720459,0.520752,0.051025,-61.51145,22.62595,17.1145,0
0.924561,0.3125,-0.171387,-39.0,-189.5191,33.19847,0
1.213379,0.286621,0.593018,-1.519084,36.35878,15.21374,10
0.9052731,0.08667,0.457764,-5.152672,-1.900763,1.503817,0
0.9509279,0.135742,0.40918,-2.755725,0.9312981,-0.198473,0
1.059326,0.790527,1.999939,91.9771,50.1145,-78.8168,10
0.939941,0.095947,0.392578,1.221374,-28.96947,-12.32824,0
1.032959,0.514893,0.280029,-122.9084,-117.1298,26.94657,1
0.93457,0.114502,0.400146,-2.572519,0.748092,0.877863,0
1.144287,-0.118408,-0.325928,-22.32825,16.56489,1.78626,1
1.248047,-0.27124,-0.403809,-10.25191,14.31298,-30.86259,10
0.717041,0.304443,0.003662,35.67939,-34.51145,30.40458,0
1.060059,0.118652,-0.365967,-23.35878,-65.68702,45.54962,1
0.894287,-0.055664,-0.29126,64.40458,23.75573,-16.85496,0
0.958252,0.012695,-0.265869,51.31298,-15.26718,1.129771,0
0.708008,0.545654,0.886963,9.412213,24.57252,-36.53435,10
1.380859,-0.442627,-0.286865,74.12977,173.855,-27.30534,10
0.571533,0.986328,1.675293,70.56489,-29.63359,-27.74809,10
0.790772,0.31543,0.573242,104.4122,60.59542,-10.8626,0
0.934814,0.114014,0.390137,-3.251908,-0.015267,1.679389,0
0.930664,0.336182,0.292236,73.14503,-12.17557,50.35115,0
1.050781,-0.03418,-0.30542,-80.85497,-25.14504,-23.71756,1
1.124024,0.658936,0.421875,-146.7328,-70.15267,88.12214,10
0.873291,-0.073242,0.392334,5.251908,81.58778,31.56489,0
0.906006,0.130371,0.456055,135.1985,48.06107,38.19084,0
1.036865,-0.070557,-0.276367,-25.48092,31.9542,-51.25954,1
0.939941,0.095947,0.392578,1.221374,-28.96947,-12.32824,0
0.899658,0.112061,-1.122314,-166.3053,-50.12214,71.25954,10
1.083252,-0.019043,-0.08691401,65.70992,25.43511,-20.0687,1
0.932373,0.088623,0.439697,-2.129771,-1.374046,1.946565,0
